id;Name;Title;Publication;Year;G_title;Comment;pub_year;pub_type;Meter;Regularity;Rhyme;Type;Music;Composer;Music_year;Source;Notation;Music_gtitle;Comment_m;;
67;Владимиров, М.;Эх, кормилицы, лошадки;Литературная газета 1848. № 41, 14 октября. С. 646;1848;Песня ямщика;В пандан к этим стихотворениям помещаем еще пять песен в том же народном духе одного из наших молодцых и талантливых поэтов. В июньской книжке репертуара и пантеона напечатны две песни Бояну и Измена. Под ними было также подписано имя Кольцова, но автор их объяснил нам, что потченный редактор Репертуара был введен в заблуждение, и что стихотворения эти принадлежат М. Вламирову. Песни эти действительно весьма замечательны, в чем вероятно согласятся наши читатели.;1848;periodical;Х4ж + Х3м;reg;rhymed;core;;;;;;;;;
68;Владимиров, М.;Что ретивый конь призадумался;Литературная газета 1848. № 41, 14 октября. С. 646;1848;;;1848;periodical;Пс2;reg;unrhymed;core;;;;;;;;;
69;Владимиров, М.;Девушка, красавица береги себя;Литературная газета 1848. № 41, 14 октября. С. 646-647;1848;Девушке;;1848;periodical;Х3дм;unreg (перебои, сверхсхемные);unrhymed;core;;;;;;;;;
70;Владимиров, М.;Ах не тучи темные;Литературная газета 1848. № 41, 14 октября. С. 647;1848;Хоровая военная;;1848;periodical;Х3д;reg;occ;periph;;;;;;;;;
71;Владимиров, М.;Схоронен в могиле хладной;Литературная газета 1848. № 41, 14 октября. С. 647;1848;Могила;;1848;periodical;Х43жм;reg;rhymed;core;;;;;;;;;
72;Владимиров, М.;Веселись молодец;Литературная газета 1848. № 48, 2 декабря. С. 760;1848;Русские песни;;1848;periodical;Ан2м;unreg(перебои, окк. Пс);rhymed;periph;;;;;;;;;
73;Владимиров, М.;Ну, дружней, веселей;Литературная газета 1848. № 48, 2 декабря. С. 760;1848;Русские песни (песня застольная);;1848;periodical;Ан2м + Пс;unreg(почти reg);rhymed;core;melody;Алябьев, А.А.;1850;Алябьев,А.А. Вок. Квартет, М., 1850;;;;;
74;Владимиров, М.;Ах ты батюшка питер город наш;Литературная газета 1848. № 48, 2 декабря. С. 760;1848;Русские песни (песня старожила);;1848;periodical;Пс2;reg;occ;periph;;;;;;;;;
75;Владимиров, М.;Сват родимый не куражься;Литературная газета 1848. № 48, 2 декабря. С. 760;1848;Русские песни;;1848;periodical;Х4жм;reg;rhymed;core;;;;;;;;;
76;Владимиров, М.;Чу! Взмахнул крылами;Литературная газета 1848. № 51, 23 декабря. С. 760;1848;Песня жнеца;;1848;periodical;Х3ж;unreg (перебои, сверхсхемные);occ;core;;;;;;;;;
77;Владимиров, М.;Не тоскуй не горюй;Литературная газета 1848. № 51, 23 декабря. С. 760;1848;;;1848;periodical;Ан2м + Пс;reg;occ;core;melody;Кушелев-Безбородко, Г.Н.;1849;Спб., Деноткин, 1849;;;;;
78;Владимиров, М.;Ах ты милая русь родимая;Литературная газета 1848. № 51, 23 декабря. С. 760;1848;;последнее стихотворение г. Владимирова взято из народной картины его: радостный отклик на царское слово, которая готовится в печати;1848;periodical;Пс2;reg;occ;periph;;;;;;;;;
79;Волков, П.;Ты не плачь, не горюй;БдЧ. 1839, т. 37. Стихотв. 163-164;1839;Прощание;;1839;periodical;Ан2м;reg;rhymed;periph;melody;Романус, И.В.;1851;Прощание: ты не плачь, не горюй. Спб., Бернард, М., Ленгольд, 1851. 5 с. РНБ;Для голоса с фортепиано;Прощание;;;
80;Волконская, З.А.;Уж как пал снежок со темных небес;Сев. Цветы на 1832 г. СПб.., 1831 + Русские поэтессы 19 в. М., 1979;1831;Надгробная славянского гусляра;входило в прозаич. Текст Сказание об Ольге;1831;periodical;Пс2;unreg(перебои к анапест. И амфб. Ритму);unrhymed;core;;;;;;;;;
81;Вяземский;Собирайтесь девки красны;Пантеон русской поэзии. 1817;1817;;;1817;periodical;Х4мж;reg;rhymed;core;;;;;;;;Васильев, И.В. М., Гутхейль 1859, Лодий, А.П. Спб., Одеон, 1854;
82;Г……ни (…Ни?...На?;Ах! Не чайка кружася носится;Литературный кабинет.М., 1842. Ч. 2. С. 66-67;1842;Русские песни;;1842;periodical;Пс2;reg;unrhymed;core;;;;;;;;;
83;Г……ни (…Ни?...На?;Что ты Машенька призадумалась;Литературный кабинет.М., 1842. Ч. 2. С. 67;1842;Русские песни;;1842;periodical;Пс2;reg;unrhymed;core;;;;;;;;;
84;Глебов, Д.П.;Увянет без солнышка;ВЕ, 1817, № 5.;1817;Русские песни;;1817;periodical;Аф2д;reg;unrhymed;core;;;;;;;;;
85;Глебов, Д.П.;Скучно матушка мне сердцем жить одной;ВЕ, 1817, № 5.;1817;Русские песни;;1817;periodical;Х6м;reg;rhymed;core;;;;;;;;;
86;Глинка, Ф.;Кормила я друга отборным кусочком;Лит.прибав. Рус. Инвалид. 1832, № 41. С. 326;1832;Песнь русской девы;;1832;periodical;Аф4ж;reg;rhymed;periph;;;;;;;;;
87;Глинка, Ф.;Над озером, Габ озером;Царское село на 1830. СПб., 1830. С. 240-242;1828;Олонецкая песня;;1830;periodical;Я34дм;unreg;occ;core;;;;;;;;;
88;Годовниченкова Евпраксия;О кинжал мой, кинжал!;БдЧ. 1838, т. 26. Стихотв 97-98;1838;Обет женщины;;1838;collection;Ан2мАн1д;unreg;unrhymed;core;;;;;;;;Толстой, Ф.М. М., Гротриан, ц.р. 1872;
